,Russian Standard,,Alcohol-Vodka,,,5.5,,,,,N,N
,Absolut Citron,,Alcohol-Vodka,,,6,,,,,N,N
,A- House Vodka,,Alcohol-Vodka,,,4,,,,,N,N
,Z- Red Bull ,,Alcohol-Vodka,,,4,,,,,N,N
,Z- Red Bull Up,,Alcohol-Vodka,,,3.5,,,,,N,N
,Firefly,,Alcohol-Vodka,,,6,,,,,N,N
,Burnett's,,Alcohol-Vodka,,,5,,,,,N,N
,A- House Gin,,Alcohol-Tequila/Gin,,,4,,,,,N,N
,Quervo Gold,,Alcohol-Tequila/Gin,,,5.5,,,,,N,N
,Patron,,Alcohol-Tequila/Gin,,,8,,,,,N,N
,Camarena,,Alcohol-Tequila/Gin,,,5,,,,,N,N
,Bombay Sapphire,,Alcohol-Tequila/Gin,,,7,,,,,N,N
,Hendrick's,,Alcohol-Tequila/Gin,,,7,,,,,N,N
,Tanqueray,,Alcohol-Tequila/Gin,,,7,,,,,N,N
,A- House Tequila,,Alcohol-Tequila/Gin,,,4,,,,,N,N
,Licor 43,,Alcohol-Cordials,,,7,,,,,N,N
,Coffee Liqueur,,Alcohol-Cordials,,,5.5,,,,,N,N
,Amaretto,,Alcohol-Cordials,,,5.5,,,,,N,N
,Butterscotch,,Alcohol-Cordials,,,5.5,,,,,N,N
,Blue Curacao,,Alcohol-Cordials,,,5.5,,,,,N,N
,Melon Liqueur,,Alcohol-Cordials,,,5.5,,,,,N,N
,Bailey's,,Alcohol-Cordials,,,6,,,,,N,N
,Peach,,Alcohol-Cordials,,,5.5,,,,,N,N
,Sour Apple,,Alcohol-Cordials,,,5.5,,,,,N,N
,Godiva,,Alcohol-Cordials,,,7.5,,,,,N,N
,Chambord,,Alcohol-Cordials,,,7.5,,,,,N,N
,Grand Marnier,,Alcohol-Cordials,,,9,,,,,N,N
,Pama,,Alcohol-Cordials,,,7,,,,,N,N
,Frangelico,,Alcohol-Cordials,,,7.5,,,,,N,N
,Lucid-Absinthe,,Alcohol-Cordials,,,9,,,,,N,N
,Rumple Minze,,Alcohol-Cordials,,,7.5,,,,,N,N
,Goldschlager,,Alcohol-Cordials,,,7.5,,,,,N,N
,Jager,,Alcohol-Cordials,,,6,,,,,N,N
,A- House Rum,,Alcohol-Rum,,,4,,,,,N,N
,Bacardi Silver,,Alcohol-Rum,,,5.5,,,,,N,N
,Bacardi Limon,,Alcohol-Rum,,,6,,,,,N,N
,Captain Morgan,,Alcohol-Rum,,,5.5,,,,,N,N
,Kraken,,Alcohol-Rum,,,7,,,,,N,N
,Malibu,,Alcohol-Rum,,,5.5,,,,,N,N
,Myers,,Alcohol-Rum,,,7.5,,,,,N,N
,$3 Draft,,EVENT MENU,,,3,,,,,N,N
,Fried Pickles,,EVENT MENU,,,7,,,,,N,N
,Chip w/ Pico,,EVENT MENU,,,5,,,,,N,N
,Corn Bread,,EVENT MENU,,,5,,,,,N,N
,5 Wing,,EVENT MENU,,,6,,,,,N,N
,10 Wing,,EVENT MENU,,,11,,,,,N,N
,Oysters,,EVENT MENU,,,15,,,,,N,N
,5oz Steak,,EVENT MENU,,,7,,,,,N,N
,10oz Steak,,EVENT MENU,,,12,,,,,N,N
,Slider Trio,,EVENT MENU,,,10,,,,,N,N
,Perch Po Boy,,EVENT MENU,,,10,,,,,N,N
,Bbq Sandwich ,,EVENT MENU,,,9,,,,,N,N
,Turkey Melt,,EVENT MENU,,,8.5,,,,,N,N
,Premium Side $1,,EVENT MENU,,,1,,,,,N,N
